event_id,event_type,effective_year,event_date_est,event_date_precision,evidence_status,confidence,source,parent_ck,child_ck
be62b96f-8a86-4baa-bed6-a19817ee4a8f,NEW_DISTRICT,1983,1983-01-01,YEAR,OBSERVED,1.00,2a66bbc394dd,IND-000118,IND-000498
be93d1d1-d98b-4ec8-8505-bad7d778770b,NEW_DISTRICT,1997,1997-01-01,YEAR,OBSERVED,1.00,141dd357c778,IND-000540,IND-000541
be9747d2-5e42-426b-ad09-0f38c4d82e68,NEW_DISTRICT,2004,2004-01-01,YEAR,OBSERVED,1.00,8982adaab77e,IND-000341,IND-000750
be9a6b5b-4b77-4f17-85dd-28b979b0de34,RENAME,1961,1961-01-01,YEAR,OBSERVED,1.00,d735c92df7f8,,
befbb401-114e-42c6-8ddb-8ad3ada37b8a,NEW_DISTRICT,1997,1997-01-01,YEAR,OBSERVED,1.00,2aef0f747671,IND-000296,IND-000577
bf08daeb-e2a6-4df3-adf2-24a66a806306,RENAME,1971,1971-01-01,YEAR,OBSERVED,1.00,01b7609ae546,,
bf2aee88-be8e-42d0-99ed-1c2cd73d5f82,NEW_DISTRICT,2003,2003-01-01,YEAR,OBSERVED,1.00,f30d3bccefdb,,
bfb82e32-e16f-41c2-a60d-e8bce6369dc3,SPLIT,2019,2019-01-01,YEAR,OBSERVED,1.00,655cadf7e5ff,,
bffa9ec5-5a04-4127-83d7-3a83d332ba58,SPLIT,1992,1992-01-01,YEAR,OBSERVED,1.00,b7defe1e10db,IND-000312,IND-000620
c004e142-a8c7-418a-8ce1-3af758f13553,NEW_DISTRICT,1982,1982-01-01,YEAR,OBSERVED,1.00,aa60646d2eed,IND-000385,IND-000033
c019f07e-4a2b-448a-a935-9d9279d7c3b0,NEW_DISTRICT,1989,1989-01-01,YEAR,OBSERVED,1.00,cf556d7e0d63,IND-000018,IND-000506
c0249205-a3ec-4947-be91-5b40547c9208,SPLIT,1997,1997-01-01,YEAR,OBSERVED,1.00,6c88f6db9be8,IND-000116,IND-000596
c0546caa-414c-4194-bbae-689362bad9b4,NEW_DISTRICT,2016,2016-01-01,YEAR,OBSERVED,1.00,1705bd075474,IND-000818,IND-000830
c0d378b4-20e0-4402-a84d-b07364f1580a,NEW_DISTRICT,1981,1981-01-01,YEAR,OBSERVED,1.00,82a838aa5f88,IND-000115,IND-000496
c1056f69-1359-4387-9005-01ca18b8be51,SPLIT,1986,1986-01-01,YEAR,OBSERVED,1.00,60591645fd04,,
c1082167-a5a0-4dd0-8a05-e2b14b804853,SPLIT,2015,2015-01-01,YEAR,OBSERVED,1.00,31c4ec2485c2,,
c121addd-804e-4e9b-a419-4e7860e282a8,NEW_DISTRICT,1983,1983-01-01,YEAR,OBSERVED,1.00,9fa5f5e60c20,IND-000019,IND-000420
c1369045-0ff1-42de-a57e-5714f795e0cc,SPLIT,1991,1991-01-01,YEAR,OBSERVED,1.00,47a553565ae8,IND-000122,IND-000629
c157c743-b032-4f32-950b-eae6c31d7c98,NEW_DISTRICT,2022,2022-01-01,YEAR,OBSERVED,1.00,4a3fec1f4f42,,
c2167ff1-ea53-429d-94f1-aed98fb1eb78,RENAME,2011,2011-01-01,YEAR,OBSERVED,1.00,b4b5d3a29c29,,
c21f5f1b-9576-4e8c-bbe9-e3e0b9123325,SPLIT,1997,1997-01-01,YEAR,OBSERVED,1.00,d70d4ce81e29,,
c23f08dd-708e-4029-b712-cd397b4f58ed,SPLIT,2016,2016-01-01,YEAR,OBSERVED,1.00,6b8e7d2e3684,,
c2837a36-b285-4202-962a-47b946b52c26,NEW_DISTRICT,1979,1979-01-01,YEAR,OBSERVED,1.00,84c86e5ac70b,IND-000334,IND-000428
c285ee1b-d90c-49c4-b5f7-c4a48b4fb825,SPLIT,2007,2007-01-01,YEAR,OBSERVED,1.00,9afe310d904a,,
c375ba12-91c3-4df7-9352-2ff204a17ed8,NEW_DISTRICT,2013,2013-01-01,YEAR,OBSERVED,1.00,7572225fbdec,,
