event_id,event_type,effective_year,source_ck,source_district_name,source_state,target_ck,target_district_name,target_state,source_snapshot_id,target_snapshot_id,source_area_before_km2,target_area_before_km2,source_area_after_km2,target_area_after_km2,area_transferred_km2,area_received_km2,area_relinquished_km2,raw_transfer_weight,statistical_weight,coverage_score,overlap_excess,area_measurement_method,measurement_status,crosswalk_status,relationship_type,evidence_type,confidence,normalization_method,distribution_assumption,pipeline_run_id,area_retained_km2,overlap_area_km2,unaccounted_area_km2,net_source_area_change_km2,net_target_area_change_km2
29905bfa-61b2-4df5-a8c0-7dea000d440c,RENAME,2021,,,,,,,,,,,,,,,,,,,,,NON_SPATIAL,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
29a0c1c2-05b5-45d9-a283-ccff1cba4077,SPLIT,2016,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
29dbc72c-3da4-4319-be4d-7e2645452847,SPLIT,1974,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
29fb3cf8-fd73-4318-b806-f8f0d825e183,NEW_DISTRICT,1976,IND-000024,United Khasi and Jaintia Hills,Assam,IND-000393,West Khasi Hills,Meghalaya,100,2275,14088.541902295321,,,5037.100821525741,5036.990862360423,5036.990862360423,5036.990862360423,0.35752392953736334,0.2305042834786404,1.0,0.5510511307721235,AREA_WEIGHTED,MEASURED,MEASURED_NORMALIZED,FORMED_FROM,,1.00,PROPORTIONAL_APPORTIONMENT,Weights normalized (pre-normalization sum=1.551) due to overlapping target geometries detected in crosswalk_errors,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,7763.506946190281,9051.551039934897,,5037.100821525741
2a2e7467-a515-449b-b502-6e852d45cfc1,SPLIT,1961,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2a3d4f4d-2792-49a6-9d12-26a1e6c373b2,SPLIT,1958,IND-000336,,,IND-000376,Eranakulam,Kerala,,2174,,,6711.357397694583,2924.998493951632,,,,,,,,,UNMEASURED,UNMEASURED,FORMED_FROM,,1.00,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,6711.357397694583,0.0,,,2924.998493951632
2a4d382b-3c7d-421b-a90f-475f2122c420,NEW_DISTRICT,2016,IND-000812,,,IND-000835,Bhadradri Kothagudem,Telangana,,4037,,,4545.4944439008,7025.890852964756,,,,,,,,,UNMEASURED,UNMEASURED,FORMED_FROM,,1.00,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,4545.4944439008,0.0,,,7025.890852964756
2a569b6d-eb34-4713-932d-25aaafe150ba,SPLIT,2016,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2aa448d7-f68c-431c-b59b-8a3982b50a54,RENAME,1951,,,,,,,,,,,,,,,,,,,,,NON_SPATIAL,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2ae43a35-6fcf-428e-8b5a-6edf6a41ff17,SPLIT,1976,IND-000024,United Khasi and Jaintia Hills,Assam,IND-000391,Jaintia Hills,Meghalaya,100,2265,14088.541902295321,,,3860.2273866365904,3860.1998696276264,3860.1998696276264,3860.1998696276264,0.2739956978087788,0.1766516218407203,1.0,0.5510511307721235,AREA_WEIGHTED,MEASURED,MEASURED_NORMALIZED,SPLIT_FROM,,1.00,PROPORTIONAL_APPORTIONMENT,Weights normalized (pre-normalization sum=1.551) due to overlapping target geometries detected in crosswalk_errors,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,7763.506946190281,10228.342032667695,,3860.2273866365904
2ba62588-b6ec-4699-b8d4-94300dba92ab,SPLIT,1973,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2bd49a8a-9582-4c8c-9f49-791d38ff0cb8,SPLIT,2023,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2bf4a9c3-6afb-4f72-a7a4-97b6dad8f680,RENAME,2001,,,,,,,,,,,,,,,,,,,,,NON_SPATIAL,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2cbda86d-ca5a-4efa-a0d1-24f17fce406b,NEW_DISTRICT,1997,IND-000365,Rohtak,Haryana,IND-000551,Jhajjar,Haryana,2104,2912,4173.937505322121,,1623.1973419349226,1811.607118529297,1811.577243813164,1811.577243813164,1811.577243813164,0.4340211710173549,0.21503898952608733,1.0,1.0183371023732506,AREA_WEIGHTED,MEASURED,MEASURED_NORMALIZED,FORMED_FROM,,1.00,PROPORTIONAL_APPORTIONMENT,Weights normalized (pre-normalization sum=2.018) due to overlapping target geometries detected in crosswalk_errors,149f2020-a4d9-4dff-a50f-44da4f58f1cd,1623.1973419349226,4250.475424656763,739.1629195740343,-2550.7401633871987,1811.607118529297
2cc846fd-244b-49fb-9d36-408a49911e77,SPLIT,1973,IND-000117,Purnea,Bihar,IND-000444,Katihar,Bihar,635,2563,10980.479973380885,,,3025.0575983286535,3024.980857427464,3024.980857427464,3024.980857427464,0.2754871248579923,0.16127379459165445,1.0,0.7081952189165401,AREA_WEIGHTED,MEASURED,MEASURED_NORMALIZED,SPLIT_FROM,,1.00,PROPORTIONAL_APPORTIONMENT,Weights normalized (pre-normalization sum=1.708) due to overlapping target geometries detected in crosswalk_errors,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,7776.323418557161,7955.499115953421,,3025.0575983286535
2cf2cea3-f130-45fe-b50b-f5de5d110f4f,SPLIT,1969,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2d0129c1-f9b0-4129-9b73-e309c390f955,RENAME,1971,,,,,,,,,,,,,,,,,,,,,NON_SPATIAL,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2d327de0-67c0-42a8-b5b5-781c76831639,SPLIT,1997,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2d4eb6c1-ed37-4abe-874d-ac52903f3fac,SPLIT,2013,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2d5cee81-237a-4383-b11f-cc913d615618,NEW_DISTRICT,1974,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2d674216-0f41-448a-a8aa-81201bbc9b4d,SPLIT,1972,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2d6ed94f-c939-48ed-a815-df2271d97627,SPLIT,1998,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2d7aa2c4-397a-44b3-b751-592c0d0c7e73,SPLIT,2022,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2d96c4e4-197c-474b-9667-691ece1738c4,NEW_DISTRICT,1984,IND-000372,Kannur,Kerala,IND-000523,Kasaragod,Kerala,2152,2837,,,,2017.453177101139,,,,,,0.0,,UNMEASURED,UNMEASURED,UNMEASURED,FORMED_FROM,,1.00,NONE,No geometric data available for this lineage pair,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,2017.453177101139
2db81a55-4f59-4556-ae6f-17c17c785892,SPLIT,1992,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2dc9dea2-cc7b-4197-b113-9a74466e581f,SPLIT,2004,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2e3d0a9e-8906-4d34-8624-e98bc4df0ef1,SPLIT,1994,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2e44cca1-7966-48e0-bfdc-61645e30d80c,SPLIT,2006,IND-000427,Pulwama,Jammu and Kashmir,IND-000727,Kulgam,Jammu and Kashmir,2465,3671,1293.05347422686,,896.2613830785017,1165.8537807228763,5.5743072994914,5.5743072994914,5.5743072994914,,0.004310964249041887,1.0000814587156182,,AREA_WEIGHTED,MEASURED,MEASURED,FORMED_FROM,,1.00,NONE,Uniform spatial distribution assumed across district area; no ancillary data available for this build,149f2020-a4d9-4dff-a50f-44da4f58f1cd,896.2613830785017,0.0,391.21778384886704,-396.7920911483584,1165.8537807228763
2e6b55a6-ee5b-4e12-ace7-62a2fe160425,NEW_DISTRICT,1981,IND-000269,Kanpur,Uttar Pradesh,IND-000417,Kanpur Dehat,Uttar Pradesh,1405,2405,6176.028245495687,6176.028223503255,2999.0433462418036,6176.028223503255,6176.028141490837,6176.028141490837,6176.028141490837,0.9999999831599135,0.6037686850074669,1.0,0.6562634134420973,AREA_WEIGHTED,MEASURED,MEASURED_NORMALIZED,FORMED_FROM,,1.00,PROPORTIONAL_APPORTIONMENT,Weights normalized (pre-normalization sum=1.656) due to overlapping target geometries detected in crosswalk_errors,149f2020-a4d9-4dff-a50f-44da4f58f1cd,2999.0433462418036,4053.1013779038067,-2999.043242236954,-3176.984899253883,0.0
2e7dfe54-648e-4ed7-8ca4-80b35575a838,SPLIT,1991,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2ed0299f-33ff-4cf1-9434-9793b1de2c08,SPLIT,1983,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2ef25821-5642-40d8-96d0-d6b8a715ea07,NEW_DISTRICT,1994,IND-000360,Hazaribag,Bihar,IND-000624,Kodarma,Jharkhand,2072,3208,,,,1399.7452563222992,,,,,,0.0,,UNMEASURED,UNMEASURED,UNMEASURED,FORMED_FROM,,1.00,NONE,No geometric data available for this lineage pair,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,1399.7452563222992
2ef6c264-dc2f-466b-870f-95f9f1920024,SPLIT,2011,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2fa62794-4333-45d1-9c43-b975103a26f9,SPLIT,2016,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2fa6d566-3a2a-4213-956b-8471ee054a23,NEW_DISTRICT,2012,IND-000769,Durg,Chhattisgarh,IND-000902,Bametara,Chhattisgarh,3807,4214,8430.995588576707,,2297.595035350104,2865.3426023560155,2809.552373776672,2809.552373776672,2809.552373776672,0.33324087816904807,0.16849767138637578,1.0,0.9777180030275063,AREA_WEIGHTED,MEASURED,MEASURED_NORMALIZED,FORMED_FROM,,1.00,PROPORTIONAL_APPORTIONMENT,Weights normalized (pre-normalization sum=1.978) due to overlapping target geometries detected in crosswalk_errors,149f2020-a4d9-4dff-a50f-44da4f58f1cd,2297.595035350104,8243.136170396932,3323.848179449931,-6133.400553226603,2865.3426023560155
2fb2e740-dd23-4368-86f7-b86616d575c6,SPLIT,2023,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2fcf25e2-684e-4248-a7d6-09fc985c04bc,SPLIT,2001,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2feed954-5cf3-487e-b193-fdd70d2012cb,SPLIT,2012,IND-000554,North East,Delhi,IND-000857,Shahdara,Delhi,2925,4097,54.46544335949743,,34.45738796551392,36.12157767492555,13.593799103576366,13.593799103576366,13.593799103576366,0.24958576053169945,0.13516316858173566,1.0,0.8465515654197642,AREA_WEIGHTED,MEASURED,MEASURED_NORMALIZED,FORMED_FROM,,1.00,PROPORTIONAL_APPORTIONMENT,Weights normalized (pre-normalization sum=1.847) due to overlapping target geometries detected in crosswalk_errors,149f2020-a4d9-4dff-a50f-44da4f58f1cd,34.45738796551392,46.107806337264044,6.414256290407145,-20.00805539398351,36.12157767492555
30040bb8-5804-4d28-8bfc-3823ab330fe4,NEW_DISTRICT,2018,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
301f19a0-5a6e-4d76-a581-4a0284194f5f,SPLIT,1979,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
3032148a-0c74-4907-aca5-bf8ed7cd2667,SPLIT,2011,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
306f1901-39ca-4f9d-8208-03f47dbe2fe0,NEW_DISTRICT,1957,IND-000212,Malabar,Madras,IND-000374,Palakkad,Kerala,1038,2165,12789.189098051245,,,5193.869904128577,2506.545347182684,2506.545347182684,2506.545347182684,0.19598938822201162,0.14129241030591977,1.0,0.387119009419292,AREA_WEIGHTED,MEASURED,MEASURED_NORMALIZED,FORMED_FROM,,1.00,PROPORTIONAL_APPORTIONMENT,Weights normalized (pre-normalization sum=1.387) due to overlapping target geometries detected in crosswalk_errors,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,4950.938214913606,10282.643750868561,,5193.869904128577
30774841-7f1e-4821-8fe4-ee8a3c21f3f1,SPLIT,2013,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
3093c5e1-d30c-40b8-9bc4-ef71b68834b8,SPLIT,2007,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
30c3ddc4-529f-4622-9d2c-c34dd420c584,NEW_DISTRICT,1976,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
